id,title,especie,raza,sexo,peligroso,fechaNacimiento,capa,tamagno,foto,lugar,disponibilidad,identificadoIngreso,microchip,pasaporteISO,pasaporteNum,rabia,esterilizado,enCMPA,creationDate,lastUpdated,cartilla,fechaRabia,lugarEsterilizacion,fechaEsterilizacion,caracter,description,chenil,espacio,foto2
3643,OLIMPIA,Felina,COMÚN EUROPEO,Hembra,N,2021-07-15T00:00:00,Tricolor,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/olimpia.png,Cuarentena,Disponible,N,945000002439659,,,N,N,N,2021-10-16T11:25:58,2022-02-02T11:51:55,AR0045445,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/olimpia.png
3385,JAIMITO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2020-01-01T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/javi.png,Guardería,Disponible,N,941000026518806,ES,020339365,S,S,S,2021-06-26T11:58:26,2022-02-12T11:42:01,,2021-06-30T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/javi.png
3499,AMANDA,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2018-08-03T00:00:00,Blanco y crema,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/amanda.png,Guardería,Disponible,N,941000026523179,ES,020342653,S,N,S,2021-08-03T13:04:35,2022-02-04T11:28:40,,2021-08-03T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/amanda.png
3707,NEDUK,Canina,PITBULL,Macho,S,2020-11-16T00:00:00,Marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/neduk.png,Cuarentena,Disponible,N,985141004089888,ES,020349742,S,N,S,2021-11-16T13:29:53,2022-02-01T13:37:26,,2021-11-16T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/neduk.png
3827,LUA,Felina,COMÚN EUROPEO,Macho,N,2021-10-12T00:00:00,Atigrado,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/lua_.png,Casa de Acogida,Disponible,N,985141004659519,,,N,N,N,2022-01-12T12:05:46,2022-03-25T08:51:12,AR0048181,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/lua_.png
3876,FABIO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2021-08-07T00:00:00,Marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/fabio.png,Guardería,Disponible,N,985141004659542,ES,020342645,N,N,S,2022-02-07T14:05:40,2022-07-06T12:23:58,,2022-02-07T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/fabio.png
3877,REBECA,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,,Blanco y crema,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/rebeca1.png,Guardería,Disponible,N,981098108659864,ES,020342634,N,N,S,2022-02-08T13:45:59,2022-07-27T12:40:41,,2022-02-08T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/rebeca1.png
3760,DARA,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2020-12-14T00:00:00,Blanco,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/dara.png,Guardería,Disponible,N,945000002392746,ES,020344816,N,S,S,2021-12-14T11:53:58,2022-07-27T12:41:02,,2021-12-14T00:00:00,En el hospital,2022-01-25T00:00:00,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/dara.png
3778,DANO,Canina,MESTIZO,Macho,N,2020-12-16T00:00:00,Atigrado,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/3778_1663747839321.png,Guardería,Disponible,N,985141004091682,ES,020355356,N,S,S,2021-12-21T11:00:16,2022-09-21T10:10:39,,2021-12-31T00:00:00,En el CMPA,2022-09-01T00:00:00,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/3778_1663747839321.png
3814,EMMA,Canina,MESTIZO,Hembra,S,2021-01-08T00:00:00,Blanco,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/emma.png,Guardería,Disponible,N,981098108474927,ES,020355361,S,N,S,2022-01-08T13:13:46,2022-01-28T08:51:54,,2021-01-08T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/emma.png
